ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,ProfManip,LeverManip,altTime_1,altTime_2,altTime_3,altTime_4,outcomeChange,Object_cause_8,Agent_cause_8,control1_1,control1_2,control1_3,control2_1,control2_2,control2_3,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BL-Manipulation,DO-BL-CausationQuestions,DO-Q-Conform,LocationLatitude,LocationLongitude,LocationAccuracy
R_1P76Ofev83WbEKI,Default Response Set,Anonymous,,,70.215.134.75,0,1/19/2017 15:23,1/19/2017 15:27,1,1,1,1,1,0,0,66.32,0,,"If the machine worked as it should, there would be more pencils available. The malfunctioning machine is wasteful",3.633,33.948,76.17,2,19,0,2,1,1,,,1,,2,27,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,35.13589478,-90.00270081,-1
R_0wuibSFk80OgjyF,Default Response Set,Anonymous,,,68.200.124.46,0,1/19/2017 15:22,1/19/2017 15:27,1,1,1,1,1,0,0,56.781,0,,"If no pencil was produced, the person might have tried the white lever in desperation. They also could have tried the black lever, but that would not have worked due to it only having one pencil left and it was already dispensed.",7.744,141.682,145.155,4,17,100,50,1,1,,,1,,1,52,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,28.38189697,-82.65049744,-1
R_3hgzSNP6Y8ynr1k,Default Response Set,Anonymous,,,99.95.167.53,0,1/19/2017 15:22,1/19/2017 15:27,1,1,1,1,1,0,0,52.815,0,,The red lever could have gotten stuck and not pulled down all the way so a pencil was not produced. Or the red lever could have pulled down all the way but not properly engaged the vending machine mechanisms to produce the pencil.  If the red lever had not produced a pencil there would still be a pencil in the machine for the student. ,2.079,105.181,181.803,4,17,10,70,1,1,,1,1,,2,34,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,37.67860413,-122.4763947,-1
R_3Lj54I8xBKNQsEa,Default Response Set,Anonymous,,,104.137.106.179,0,1/19/2017 15:23,1/19/2017 15:27,1,1,1,1,1,0,0,69.906,0,,"there would be one pencil left for the student , if the red lever would have malfunctioned that time.",19.858,19.858,61.88,1,18,3,5,1,1,,1,1,,2,46,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,30.61579895,-87.31620026,-1
R_2A1in1U8BXk64uR,Default Response Set,Anonymous,,,198.150.21.206,0,1/19/2017 15:21,1/19/2017 15:27,1,1,1,1,1,0,0,127.843,0,,If the red lever had not produced a pencil the professor would not have gotten a pencil.  Conversely the student may have gotten one when they pulled the lever.,22.287,89.845,129.216,15,18,10,30,1,1,,1,1,,1,29,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,43.07499695,-89.45929718,-1
R_eswjnj7c7sTfNhT,Default Response Set,Anonymous,,,216.15.59.152,0,1/19/2017 15:24,1/19/2017 15:27,1,1,1,1,1,83.692,83.692,84.09,1,I think he would have been fine. He probably could find another pencil some where else. I think he should have been considerate of the students who need pencils. ,,1.523,19.418,60.167,4,17,100,100,1,1,,1,1,,1,24,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,38.91439819,-77.07630157,-1
R_erlLAIsU0VyKVEJ,Default Response Set,Anonymous,,,207.144.90.58,0,1/19/2017 15:25,1/19/2017 15:27,1,1,1,1,1,24.27,24.27,39.727,1,One of the other levers could have malfunctioned. Then the student would have had one,,10.377,10.377,49.455,1,18,,,1,1,,1,1,,2,26,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.09750366,-80.1753006,-1
R_2dZte24ZUB6AhM9,Default Response Set,Anonymous,,,38.77.17.254,0,1/19/2017 15:23,1/19/2017 15:28,1,1,1,1,1,0,0,87.992,0,,None the red one always produces pencils Pull the red lever you get a pencil. ,21.884,49.71,75.862,2,17,0,0,1,1,,1,1,,1,50,2,1,,,,,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,43.08909607,-76.22109985,-1
R_0kqN7Cnxp55Mcpz,Default Response Set,Anonymous,,,23.122.205.202,0,1/19/2017 15:24,1/19/2017 15:28,1,1,1,1,1,0,0,36.143,0,"If he had not taken the pencil from the vending machine perhaps he would not have been able to complete something, perhaos like a project or paper. He might have set a bad example for his class by not having a pencil that day. There are honestly many things that may have happened due to something that simple.",,14.654,14.654,90.022,1,17,0,0,1,,,1,,,2,24,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,38.19250488,-85.78690338,-1
R_2xY7EHVNZ1ARHc7,Default Response Set,Anonymous,,,68.188.183.194,0,1/19/2017 15:22,1/19/2017 15:28,1,1,1,1,1,23.528,33.823,93.551,2,Professor Smith could have defaulted to muscle memory and pulled the white lever as he usually does.  The malfunction could have been reversed and Smith would have just gotten an eraser.  Then something distracts Smith and he decides to get a pencil later.,,37.508,37.508,131.979,1,18,3,3,1,1,,1,1,,1,45,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,43.70530701,-84.23770142,-1
R_cv77fwK2xGpcvYt,Default Response Set,Anonymous,,,67.60.228.40,0,1/19/2017 15:22,1/19/2017 15:28,1,1,1,1,1,0,0,36.384,0,,"If there were only one pencil left instead of two and the black lever had given out the last pencil, the red lever would not have been able to produce a pencil. Or, if the person who pulled the black lever had pulled in twice and gotten two pencils, there would have been no pencil in the machine when the red lever was pulled. In either case, the professor would not have gotten the pencil he wanted.",11.926,11.926,170.35,1,16,0,30,1,1,,1,1,,2,58,2,1,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.57429504,-85.85299683,-1
R_1SWFYAYRhAzS8mt,Default Response Set,Anonymous,,,45.50.232.70,0,1/19/2017 15:24,1/19/2017 15:28,1,1,1,1,1,0,0,58.314,0,Professor Smith could have brought a pencil from home. Especially because he is new it would make sense to come more prepared. This would have left a pencil in the machine for the student to use. ,,22.386,22.386,65.976,1,18,0,30,1,1,,1,1,,1,26,2,,1,,,,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,34.08810425,-117.464798,-1
R_1Oq1CWWsz3cOlrj,Default Response Set,Anonymous,,,70.114.131.174,0,1/19/2017 15:23,1/19/2017 15:28,1,1,1,1,1,2.663,4.542,62.708,2,,"If the red lever had not produced a pencil, there would have been one last pencil in the vending machine when the student who needed it came to pull one from the vending machine. /  / It is also possible that, had the red lever not functioned properly that Professor Smith may have, after failing to receive a pencil by pulling the red lever, then chosen to pull the black lever still taking the last remaining pencil.  This would still leave the student without a pencil.",6.243,160.563,161.14,3,17,10,90,1,1,,1,1,,1,39,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,30.55430603,-97.55200195,-1
R_OePDlkbV7bQbhu1,Default Response Set,Anonymous,,,73.205.8.93,0,1/19/2017 15:24,1/19/2017 15:29,1,1,1,1,1,66.02,66.02,67.266,1,,"One way that the red lever could have failed to produce a pencil is that, when the lever was pulled, instead of being pulled down as it was supposed to, it instead broke off from the vending machine, thus been unable to produce a pencil. If this had happened, things would've gone differently. The professor would not have gotten a pencil, but the student would have gotten one.",22.811,33.699,113.149,2,19,0,50,1,1,,1,1,,1,27,1,,,,,,1,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,25.81239319,-80.24009705,-1
R_1l6pPNZI11jpcOo,Default Response Set,Anonymous,,,70.109.136.46,0,1/19/2017 15:24,1/19/2017 15:29,1,1,1,1,1,0,0,60.49,0,The professors should pay for there own pencils. The student now does not have a pencil to do her school work. ,,19.316,19.316,80.917,1,18,0,100,1,1,,1,,,1,35,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,43.1217041,-73.17539978,-1
R_2PA5uSSg0s2kzGY,Default Response Set,Anonymous,,,24.100.130.197,0,1/19/2017 15:23,1/19/2017 15:29,1,1,1,1,1,0,0,85.132,0,,"If it had not produced a pencil when the gentlemen used the vending machine, there should have been one left in there so that the student should have been able to get a pencil.",25.534,68.883,88.753,4,18,0,75,1,1,,1,1,,2,49,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,40.04660034,-87.63559723,-1
R_1gvh6zy3a18KpjD,Default Response Set,Anonymous,,,146.137.70.71,0,1/19/2017 15:27,1/19/2017 15:29,1,1,1,1,1,0,0,37.901,0,,The person would have pulled the black lever instead since that also produced a pencil. It would not have drastically changed anything.,10.362,10.362,35.714,1,16,1,81,1,1,,1,1,,1,34,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,41.75810242,-88.02110291,-1
R_26h9q8TzxENyg2S,Default Response Set,Anonymous,,,73.19.130.68,0,1/19/2017 15:25,1/19/2017 15:30,1,1,1,1,1,0,0,2.08,0,He could have just not done it,,0,0,26.436,0,18,61,64,,1,,,1,,1,25,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,31.26170349,-85.41419983,-1
R_1FQco8W9eWmecQp,Default Response Set,Anonymous,,,64.39.138.90,0,1/19/2017 15:22,1/19/2017 15:30,1,1,1,1,1,0,0,112.707,0,If he hadn't taken the pencil the student behind him may have been able to get one.  Though it probably would have been broken.,,1.666,1.666,253.678,1,18,77,0,,1,,1,,,2,40,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,30.80239868,-84.07039642,-1
R_XNTOKd9cMH0PTih,Default Response Set,Anonymous,,,73.28.206.74,0,1/19/2017 15:24,1/19/2017 15:30,1,1,1,1,1,0,0,68.226,0,They should of marked off the white lever so everyone knew that it was malfunctioning and couldn't be used. If that was the case less pencils would have been broken from people attempting to get one from the white lever. If he did not take a pencil the student in need probably would of been able to receive one. ,,25.397,123.061,128.095,3,18,0,20,1,1,1,1,,,1,24,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,27.13409424,-82.25009918,-1
R_3f6eQyKn21iE0Y9,Default Response Set,Anonymous,,,164.119.71.225,0,1/19/2017 15:29,1/19/2017 15:30,1,1,1,1,1,1.214,1.214,1.505,1,Someone could have lent him a pencil. I am sure that a student or fellow teacher would allow him the ability to utilize a pencil. ,,0.895,40.829,41.902,3,17,73,54,1,,,1,,,1,27,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,40.81759644,-96.71140289,-1
R_sBg8khELEFrzN2p,Default Response Set,Anonymous,,,73.204.157.144,0,1/19/2017 15:24,1/19/2017 15:30,1,1,1,1,1,2.764,11.893,81.838,3,"If Professor Smith would not have taken a pencil, then there would have been one pencil left. When the student who needed a pencil came to get one, there would have been one left for her. She could have taken a test with that pencil.",,45.682,118.506,160.505,2,18,11,95,1,1,,1,1,,2,55,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,25.60319519,-80.33470154,-1
R_1PTuksYHmlSOSlN,Default Response Set,Anonymous,,,72.152.69.82,0,1/19/2017 15:25,1/19/2017 15:30,1,1,1,1,1,4.436,9.921,84.39,2,"If he did not take any pencils, then the student that needed them would have pencils. I think they should not stock anything to go with the white lever to avoid this problem in the future",,46.835,46.835,82.738,1,17,0,0,1,1,,1,1,,2,30,2,,1,,,,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.5756073,-85.13400269,-1
R_BtgmbwW1xRbCfeh,Default Response Set,Anonymous,,,50.83.75.194,0,1/19/2017 15:28,1/19/2017 15:30,1,1,1,1,1,0,0,41.958,0,,"I am honestly so confused. I read the situation three times and I still don't understand. Things could have gone differently in thhat they could have gotten an eraser I think. If the red lever hadnt given a pencil, it might have given an eraser. ",1.321,1.321,48.499,1,18,52,52,1,1,,1,1,,1,32,,,,,,,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,30.60609436,-87.85800171,-1
R_3390OrZg9vJQU40,Default Response Set,Anonymous,,,172.76.109.4,0,1/19/2017 15:27,1/19/2017 15:30,1,1,1,1,1,0,0,66.888,0,,"One of the people who had wanted a pencil may not have gotten one. They may also have pulled it again and gotten a pencil on the second attempt. If they had not tried again, there may have been a pencil for the student.",16.112,16.112,75.262,1,17,0,0,1,1,,1,1,,2,29,2,1,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,48.18530273,-121.6777954,-1
R_247WJtV1TzLLfoJ,Default Response Set,Anonymous,,,107.204.201.212,0,1/19/2017 15:27,1/19/2017 15:30,1,1,1,1,1,0,0,58.915,0,Professor Smith could have saved one of his previous pencils which would negate him needing to use the vending machine. This would allow the student to have an available pencil.,,17.902,17.902,74.641,1,18,13,59,1,1,,1,1,,2,32,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,34.272995,-119.1629944,-1
R_2QF2rFLZuIUrepY,Default Response Set,Anonymous,,,168.244.5.62,0,1/19/2017 15:26,1/19/2017 15:30,1,1,1,1,1,0,0,74.619,0,If Professor Smith had been prepared before hand with the proper supplies he would not have needed to take a pencil from the vending machine. He could have done this by bringing pencils from home or buying them at the store before he arrived on campus.,,2.471,2.471,89.158,1,19,0,59,1,1,,1,1,,2,49,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,35.56750488,-80.89080048,-1
R_12Gw4SDoMgpDWJ0,Default Response Set,Anonymous,,,75.146.236.78,0,1/19/2017 15:24,1/19/2017 15:31,1,1,1,1,1,0,0,83.746,0,,"If someone else had wanted an eraser at the same time and pulled the white lever it may have malfunctioned retrieving a pencil as well, but breaking it in the process. Then  when the red lever was pulled there would have not been any pencils left in the machine. Only the black lever would have produced a non-broken pencil.",33.107,115.324,185.217,3,16,100,100,1,1,,1,1,,1,37,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,39.99110413,-75.10140228,-1
R_1iqGhpWvgohpzpD,Default Response Set,Anonymous,,,97.122.244.87,0,1/19/2017 15:27,1/19/2017 15:31,1,1,1,1,1,0,0,54.793,0,Professor Smith could have asked someone else for a pencil. He could have taken a broken pencil from the trash (thrown there by students who wanted erasers and also got broken pencils. He could have used a pen. ,,17.839,17.839,71.411,1,18,41,31,1,1,,1,1,,2,56,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,39.67700195,-104.9646988,-1
R_sX5XTmt8ncPriH7,Default Response Set,Anonymous,,,32.213.48.207,0,1/19/2017 15:26,1/19/2017 15:31,1,1,1,1,1,0,0,46.371,0,,It could have gone differently if the lever had not produced a pencil.  Then the student would have had one. ,56.809,56.809,80.748,1,18,19,0,1,1,,1,1,,1,31,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,41.23049927,-73.1257019,-1
R_2AZl4tExlc8GaUe,Default Response Set,Anonymous,,,73.137.123.4,0,1/19/2017 15:26,1/19/2017 15:31,1,1,1,1,1,0,0,97.045,0,"He could have passed on the pencil and then the student would have had one for his test. He could've used a pen instead, since students need the pencils for tests.",,4.135,4.135,100.187,1,18,10,42,1,1,,1,1,,2,34,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,34.00909424,-84.00879669,-1
R_3p3Y7Wfk6QUFXRI,Default Response Set,Anonymous,,,68.37.252.95,0,1/19/2017 15:23,1/19/2017 15:31,1,1,1,1,1,0,0,63.145,0,"If the professor had not taken a pencil from the machine, then there would have been one left for the student who needed one for the test (assuming no one else used the machine before he student did). The professor and the assistant could have shared one pencil.",,62.529,289.823,324.158,6,18,0,0,1,1,,1,1,,1,67,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,42.21960449,-83.604599,-1
R_1PRy9rGxApvtssH,Default Response Set,Anonymous,,,73.136.51.184,0,1/19/2017 15:25,1/19/2017 15:31,1,1,1,1,1,0,0,88.326,0,They could have pulled the white lever causing an eraser and 1 pencil to drop and break in half.  Each person could have taken half a pencil and there would still be one left in the vending machine. Another option would be to fix the vending machine so that it did not break a pencil every time someone wanted an eraser.  Then there would be plenty of pencils.,,25.052,25.052,147.335,1,17,1,2,1,1,,1,1,,2,38,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,30.06840515,-95.37270355,-1
R_2z7jOPk5CU96MnG,Default Response Set,Anonymous,,,68.5.128.46,0,1/19/2017 15:24,1/19/2017 15:32,1,1,1,1,1,57.029,57.029,58.216,1,The Professor could have brought his own pencils from home. If Professor Smith had not taken a pencil the student wouldn't be in a serious problem.,,14.531,243.97,281.744,9,19,0,100,1,1,,1,1,,1,27,2,,1,,,,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.42700195,-117.6119995,-1
R_2dg63E6BBIsyRSB,Default Response Set,Anonymous,,,24.205.146.27,0,1/19/2017 15:29,1/19/2017 15:32,1,1,1,1,1,9.618,14.071,15.094,2,,"If it did not function, then it would mean that the vending machine is unreliable. Since it is unreliable, it would make the red lever similar to the white lever. As such, the red lever would then be seen as unusable similar to the white lever.",19.755,47.713,85.794,3,17,20,27,1,1,,1,1,,1,,2,,1,,,,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,34.08909607,-118.0923996,-1
R_3Jazaq9LlaJtJ9u,Default Response Set,Anonymous,,,67.166.203.19,0,1/19/2017 15:26,1/19/2017 15:32,1,1,1,1,1,0,0,88.196,0,If he would have not have took the pencil the student would have been able to have one for the test. If Smith would have NOT took a pencil he might have been able to still find one around the office. ,,2.622,54.848,101.928,6,18,0,64,1,,,1,,,1,32,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,34.26620483,-85.11589813,-1
R_28G1Ijn616neBB3,Default Response Set,Anonymous,,,23.24.21.113,0,1/19/2017 15:27,1/19/2017 15:32,1,1,1,1,1,0,0,56.614,0,,"If the white lever didn't always produce a pencil that broke, then there were be more then enough for when the assigned lever was pulled. If the red lever didn't produce a pencil, then there would be one pencil left for that student. If that student knew about the white lever, he could have used that and got a broken pencil that he would still be able to use (it may just be shorter).",23.934,77,150.68,3,17,10,10,1,1,1,1,,,2,35,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,39.87510681,-75.3214035,-1
R_2w5ADIZDQn1WARG,Default Response Set,Anonymous,,,50.147.209.139,0,1/19/2017 15:28,1/19/2017 15:32,1,1,1,1,1,5.483,71.967,73.5,31,,The professor's might have left the pencil the in vending machine if the lever did't work. The student would have been able to have a chance to get a pencil if there was one still in the machine. Then they would be able to take a test with the pencil.,10.535,21.224,102.918,5,17,4,100,,,1,1,,,1,23,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.73629761,-83.99199677,-1
R_BRFRfeubqTPSOc1,Default Response Set,Anonymous,,,173.191.20.122,0,1/19/2017 15:26,1/19/2017 15:32,1,1,1,1,1,0,0,57.596,0,,The red lever could have failed and left one pencil in the machine. The girl might have gotten a pencil on her try. ,22.959,105.764,150.344,5,17,0,,,1,,1,1,,2,38,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,38.01589966,-84.48470306,-1
R_3hGaunNxJtU96ag,Default Response Set,Anonymous,,,107.219.126.149,0,1/19/2017 15:28,1/19/2017 15:32,1,1,1,1,1,0,0,61.686,0,If the Professor had chosen not to take the pencil from the vending machine then most likely the student that went for a pencil would have gotten one. ,,1.226,37.6,57.79,12,18,0,93,1,1,,1,1,,1,40,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,41.60450745,-87.99559784,-1
R_1gMUluf8TmdU9EN,Default Response Set,Anonymous,,,172.1.152.114,0,1/19/2017 15:26,1/19/2017 15:32,1,1,1,1,1,5.445,60.526,64.565,22,"don't really understand your question-- what could have happened so that Professor Smith would not take the pencil? Or what would have happened if he did not take the pencil?  /  / I guess if he did not take a pencil, the student in need of pencil would have gotten a pencil. but he might have also needed an eraser-- so if he pulled the eraser lever first, he would have not gotten a pencil.  /  / for the first question, if professors and administratives were not allowed to take from the vending machine, this would not have happend. ",,0.869,209.39,241.486,8,17,0,0,1,1,,1,1,,2,31,2,,1,,,,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,33.69099426,-117.7882004,-1
R_ptUcrDdy9C866Tn,Default Response Set,Anonymous,,,205.153.48.25,0,1/19/2017 15:27,1/19/2017 15:33,1,1,1,1,1,0,0,60.217,0,"Professor Smith could have brought his own pencil from home, or he could have several saved in his desk for times when he needed one. If Professor Smith had not taken a pencil from the machine, the student who needed one would have access to a pencil to take the test. Likewise, the student could have brought their own pencil from home as well. ",,21.577,21.577,116.598,1,18,0,0,1,1,,1,1,,1,45,2,,,,,1,,,ProfManip|altTime|outcomeChange,Object_cause|Agent_cause,,45.53320313,-122.6827011,-1
R_3MuhZaeTnLYBzGQ,Default Response Set,Anonymous,,,69.248.217.239,0,1/19/2017 15:28,1/19/2017 15:33,1,1,1,1,1,2.4,2.4,76.444,1,,"The red lever could be set up to produce only erasers. The black could be set up for only pencils. The white, both.",73.616,73.616,110.996,1,16,40,75,1,1,,1,1,,1,28,2,,,,,1,,,LeverManip|altTime|outcomeChange,Object_cause|Agent_cause,,39.48989868,-74.47730255,-1
